@RELATION piro

@attribute Avg numeric
@attribute Std numeric
@attribute Median numeric
@attribute Color {0, 1, 2, 3}
@attribute Class {0, 1, 2}

@DATA
77.18,19.85,84.0,2,0
60.84,20.67,59.0,2,0
68.62,22.68,69.0,2,0
79.74,23.78,77.0,2,0
66.56,14.79,68.0,2,0
68.44,19.84,66.0,2,0
41.3,18.16,42.0,2,0
32.12,13.12,33.0,2,0
37.49,11.78,35.0,2,0
37.9,6.43,38.0,2,0
51.55,15.16,49.0,2,0
47.12,16.85,45.0,2,0
53.26,12.68,53.0,2,0
53.97,13.54,54.0,2,0
51.1,18.72,47.0,2,0
76.02,21.0,80.0,2,0
78.89,25.4,88.0,2,0
69.03,23.66,60.0,2,0
90.09,30.74,101.0,2,0
97.87,29.09,106.0,2,0
74.21,28.63,77.0,2,0
51.97,23.76,39.0,2,0
78.97,23.41,85.0,2,0
75.85,20.95,85.0,2,0
77.99,10.52,78.0,2,0
75.19,21.44,80.0,2,0
59.1,20.76,51.0,2,0
70.2,25.41,60.0,2,0
155.4,13.93,159.0,2,1
156.81,9.36,159.0,2,1
152.0,14.58,155.0,2,1
146.34,11.78,150.0,2,1
152.94,13.23,156.0,2,1
153.45,11.27,156.0,2,1
143.67,15.09,148.0,2,1
161.05,11.5,164.0,2,1
142.26,18.95,146.0,2,1
150.62,16.33,153.0,2,1
156.44,12.38,159.0,2,1
157.83,11.94,160.0,2,1
154.71,14.32,159.0,2,1
147.4,11.95,150.0,2,1
149.86,13.75,153.0,2,1
150.75,12.5,154.0,2,1
141.06,15.68,144.0,2,1
147.68,12.98,149.0,2,1
148.85,12.02,150.0,2,1
145.69,13.86,148.0,2,1
130.2,13.09,130.0,2,1
130.95,12.63,133.0,2,1
137.67,13.65,141.0,2,1
146.12,13.96,149.0,2,1
146.94,14.1,150.0,2,1
143.11,13.42,146.0,2,1
149.45,11.51,151.0,2,1
152.14,10.81,155.0,2,1
81.77777778,13.11299422,84.0,2,2
82.75,22.29022581,89.0,2,2
74.66666667,20.01665973,85.0,2,2
86.88888889,14.40250321,88.0,2,2
81.44444444,19.31097046,86.0,2,2
92.22222222,17.22258064,95.0,2,2
82.22222222,23.94334878,89.0,2,2
87.11111111,23.47312622,90.0,2,2
68.55555556,21.41708099,74.0,2,2
67.22222222,22.77804878,66.0,2,2
84.0,15.94434766,84.0,2,2
70.22222222,16.44369368,68.0,2,2
72.44444444,20.64036558,76.0,2,2
69.0,22.27604593,76.0,2,2
67.33333333,21.65897299,64.0,2,2
86.66666667,12.11977264,83.0,2,2
91.22222222,99.0,16.08848987,2,2
