Avg;Std;Median;Color;Class
138.84;14.2;144;0;0
92.74;18.6;100;1;0
77.18;19.85;84;2;0
95.56;17.55;103;3;0
107.68;16.05;112;0;0
86.05;19.16;88;1;0
60.84;20.67;59;2;0
89.76;18.18;92;3;0
110.09;16.15;115;0;0
91.1;20.2;95;1;0
68.62;22.68;69;2;0
94.31;19.08;98;3;0
126.48;11.65;126;0;0
105.7;16.83;104;1;0
79.74;23.78;77;2;0
108.97;15.57;107;3;0
123.4;9.1;126;0;0
96.76;11.47;99;1;0
66.56;14.79;68;2;0
101.43;10.72;104;3;0
120.35;12.44;122;0;0
96.56;16.07;98;1;0
68.44;19.84;66;2;0
100.6;14.99;101;3;0
121.06;13.52;125;0;0
81.28;17.37;85;1;0
41.3;18.16;42;2;0
88.81;15.87;93;3;0
119.27;15.96;126;0;0
76.11;17.28;83;1;0
32.12;13.12;33;2;0
84.22;16.06;92;3;0
132.81;5.21;132;0;0
88.45;7.87;87;1;0
37.49;11.78;35;2;0
96.02;7.06;95;3;0
106.19;9.32;108;0;0
68.91;6.56;70;1;0
37.9;6.43;38;2;0
76.59;6.59;77;3;0
111.39;14.42;114;0;0
85.91;15.06;87;1;0
51.55;15.16;49;2;0
89.77;14.26;91;3;0
116.83;22.46;124;0;0
84.72;16.57;88;1;0
47.12;16.85;45;2;0
90.22;17.45;94;3;0
125.42;11.58;128;0;0
94.22;10.91;97;1;0
53.26;12.68;53;2;0
99.07;10.63;102;3;0
123.15;11.34;125;0;0
93.76;11.09;95;1;0
53.97;13.54;54;2;0
98.2;10.83;100;3;0
116.77;7.12;116;0;0
88.06;12.82;85;1;0
51.1;18.72;47;2;0
92.61;11.46;90;3;0
108.1;14.71;113;0;0
93.25;18.29;99;1;0
76.02;21;80;2;0
96.81;17.31;101;3;0
109.32;18.84;116;0;0
95.43;22.48;104;1;0
78.89;25.4;88;2;0
97.78;21.6;106;3;0
100.84;18.31;96;0;0
86.22;22.15;79;1;0
69.03;23.66;60;2;0
88.72;21.04;82;3;0
129.19;24.48;140;0;0
109.22;28.78;119;1;0
90.09;30.74;101;2;0
113.1;27.59;124;3;0
138.13;20.19;146;0;0
118.45;25.4;126;1;0
97.87;29.09;106;2;0
122.09;24.06;130;3;0
114.16;21.84;121;0;0
94.08;26.11;100;1;0
74.21;28.63;77;2;0
97.91;24.99;104;3;0
105.78;26.21;101;0;0
77.59;25.81;67;1;0
51.97;23.76;39;2;0
83.22;25.44;74;3;0
107.15;17.53;113;0;0
96.82;21.28;104;1;0
78.97;23.41;85;2;0
97.95;20.24;104;3;0
106.95;13.26;112;0;0
95.02;17.85;103;1;0
75.85;20.95;85;2;0
96.49;16.69;104;3;0
124.31;5.1;125;0;0
100.5;7.15;101;1;0
77.99;10.52;78;2;0
105.33;6.51;106;3;0
124.16;18.06;131;0;0
98.28;20.3;105;1;0
75.19;21.44;80;2;0
103.5;19.57;110;3;0
110.44;13.04;106;0;0
84.23;17.4;78;1;0
59.1;20.76;51;2;0
89.34;16.31;83;3;0
121.33;17.3;122;0;0
94.81;21.57;89;1;0
70.2;25.41;60;2;0
100.06;20.47;95;3;0
145.45;14.05;150;0;1
151.16;14.15;155;1;1
155.4;13.93;159;2;1
149.94;14.03;154;3;1
143.21;9.15;145;0;1
150.88;9.27;153;1;1
156.81;9.36;159;2;1
149.25;9.14;151;3;1
145.44;15.21;148;0;1
150.69;15.08;153;1;1
152;14.58;155;2;1
149.28;14.99;152;3;1
141.68;11.68;145;0;1
145.78;12.05;149;1;1
146.34;11.78;150;2;1
144.64;11.83;148;3;1
131.44;11.56;134;0;1
153.06;12.89;156;1;1
152.94;13.23;156;2;1
146.58;12.38;150;3;1
127.76;11.02;131;0;1
151.63;11.62;154;1;1
153.45;11.27;156;2;1
144.69;11.29;147;3;1
140.41;15.51;146;0;1
143.3;15.48;149;1;1
143.67;15.09;148;2;1
142.49;15.38;148;3;1
141.83;11.32;145;0;1
151.7;11.24;155;1;1
161.05;11.5;164;2;1
149.76;11.22;153;3;1
138.19;19.13;143;0;1
141.02;19.26;145;1;1
142.26;18.95;146;2;1
140.32;19.13;145;3;1
142.73;16.48;146;0;1
147.15;14.4;150;1;1
150.62;16.33;153;2;1
146.23;16.37;149;3;1
131.81;11.95;134;0;1
152.29;12.77;155;1;1
156.44;12.38;159;2;1
146.63;12.37;149;3;1
133;11.87;135;0;1
153;12.34;155;1;1
157.83;11.94;160;2;1
147.54;12.04;150;3;1
132;13.35;136;0;1
151.14;14.63;156;1;1
154.71;14.32;159;2;1
145.81;14;150;3;1
141.96;12.67;146;0;1
145.64;12.94;149;1;1
147.4;11.95;150;2;1
144.7;12.61;149;3;1
145.78;15.36;149;0;1
148.75;14;153;1;1
149.86;13.75;153;2;1
147.98;13.99;152;3;1
148.58;14.9;152;0;1
150.15;13.18;154;1;1
150.75;12.5;154;2;1
149.74;13.28;154;3;1
142.6;23.96;150;0;1
142.14;17.38;147;1;1
141.06;15.68;144;2;1
142.17;18.72;148;3;1
145.54;12.75;147;0;1
147.79;13.46;149;1;1
147.68;12.98;149;2;1
147.11;13.12;149;3;1
145.8;11.59;147;0;1
148.87;12.43;150;1;1
148.85;12.02;150;2;1
147.96;12.06;149;3;1
140.77;12.09;142;0;1
145.77;13.04;148;1;1
145.69;13.86;148;2;1
144.27;12.61;147;3;1
147.95;11.55;149;0;1
142.99;12.84;143;1;1
130.2;13.09;130;2;1
142.82;12.34;143;3;1
144.74;11.43;146;0;1
141.45;12.38;143;1;1
130.95;12.63;133;2;1
141.28;11.99;142;3;1
147.1;12.31;150;0;1
146.23;13.2;148;1;1
137.67;13.65;141;2;1
145.56;12.86;148;3;1
135.95;13.15;138;0;1
135.987;13.15;138;1;1
146.12;13.96;149;2;1
145.3;13.6;148;3;1
138.53;12.58;142;0;1
147.54;13.74;151;1;1
146.94;14.1;150;2;1
144.77;13.29;148;3;1
134.56;13.09;137;0;1
144.39;14;147;1;1
143.11;13.42;146;2;1
141.3;13.55;144;3;1
130.22;10.89;132;0;1
148.13;11.43;150;1;1
149.45;11.51;151;2;1
142.92;11.12;145;3;1
134.27;11.08;137;0;1
150.53;11.31;153;1;1
152.14;10.81;155;2;1
145.86;11.09;148;3;1
52.66666667;5.773502692;53;0;2
65.22222222;11.03305919;67;1;2
81.77777778;13.11299422;84;2;2
81.31666667;12.91577416;84.15;3;2
64.75;20.16649449;69;0;2
75.66666667;18.82079228;79.5;1;2
82.75;22.29022581;89;2;2
82.875;22.74842027;89.25;3;2
49.66666667;16.00694294;55;0;2
61.22222222;15.33896837;58;1;2
74.66666667;20.01665973;85;2;2
74.8;19.78875944;84.15;3;2
75;14.22829731;70;0;2
78.77777778;14.38191594;77;1;2
86.88888889;14.40250321;88;2;2
87.26666667;14.61296989;89.25;3;2
59.44444444;25.44323141;61;0;2
66.66666667;22.84731932;67;1;2
81.44444444;19.31097046;86;2;2
81.88333333;19.24999278;86.7;3;2
83.55555556;18.01302684;84;0;2
84.33333333;15.96524002;83;1;2
92.22222222;17.22258064;95;2;2
93.78333333;15.05137498;94.35;3;2
79.33333333;21.54065923;90;0;2
78.33333333;22.34576768;90;1;2
82.22222222;23.94334878;89;2;2
83.3;22.68082891;91.8;3;2
83.44444444;18.78599426;86;0;2
79.11111111;17.66631726;75;1;2
87.11111111;23.47312622;90;2;2
90.95;22.13266816;89.25;3;2
51.77777778;15.33896837;47;0;2
55.44444444;15.23964939;55;1;2
68.55555556;21.41708099;74;2;2
68.85;21.26699321;73.95;3;2
54.66666667;16.03468463;51;0;2
55;16.87865187;49;1;2
67.22222222;22.77804878;66;2;2
67.43333333;22.90623399;66.3;3;2
63.88888889;19.07554831;66;0;2
65.44444444;18.63754342;69;1;2
84;15.94434766;84;2;2
191.5333333;312.1675067;84.15;3;2
71.55555556;13.7364973;68;0;2
68.11111111;13.71491033;63;1;2
70.22222222;16.44369368;68;2;2
73.1;15.25270468;68.85;3;2
72.88888889;17.38098862;80;0;2
68.77777778;16.82443843;75;1;2
72.44444444;20.64036558;76;2;2
75.93333333;19.67076229;79.05;3;2
66;22.59793501;63;0;2
63.33333333;21.20796496;60;1;2
69;22.27604593;76;2;2
77.63333333;15.77024272;79.05;3;2
57.88888889;21.20505414;51;0;2
59.55555556;21.44300513;52;1;2
67.33333333;21.65897299;64;2;2
67.43333333;21.439929;63.75;3;2
56.44444444;11.22607195;54;0;2
66.11111111;11.11999645;66;1;2
86.66666667;12.11977264;83;2;2
86.41666667;12.16684931;84.15;3;2
64.11111111;66;12.887931;0;2
77.44444444;85;13.34258938;1;2
91.22222222;99;16.08848987;2;2
95.76666667;99.45;18.39267668;3;2
