@RELATION piro

@attribute Avg numeric
@attribute Std numeric
@attribute Median numeric
@attribute Color {0, 1, 2, 3}
@attribute Class {0, 1, 2}

@DATA
92.74,18.6,100.0,1,0
86.05,19.16,88.0,1,0
91.1,20.2,95.0,1,0
105.7,16.83,104.0,1,0
96.76,11.47,99.0,1,0
96.56,16.07,98.0,1,0
81.28,17.37,85.0,1,0
76.11,17.28,83.0,1,0
88.45,7.87,87.0,1,0
68.91,6.56,70.0,1,0
85.91,15.06,87.0,1,0
84.72,16.57,88.0,1,0
94.22,10.91,97.0,1,0
93.76,11.09,95.0,1,0
88.06,12.82,85.0,1,0
93.25,18.29,99.0,1,0
95.43,22.48,104.0,1,0
86.22,22.15,79.0,1,0
109.22,28.78,119.0,1,0
118.45,25.4,126.0,1,0
94.08,26.11,100.0,1,0
77.59,25.81,67.0,1,0
96.82,21.28,104.0,1,0
95.02,17.85,103.0,1,0
100.5,7.15,101.0,1,0
98.28,20.3,105.0,1,0
84.23,17.4,78.0,1,0
94.81,21.57,89.0,1,0
151.16,14.15,155.0,1,1
150.88,9.27,153.0,1,1
150.69,15.08,153.0,1,1
145.78,12.05,149.0,1,1
153.06,12.89,156.0,1,1
151.63,11.62,154.0,1,1
143.3,15.48,149.0,1,1
151.7,11.24,155.0,1,1
141.02,19.26,145.0,1,1
147.15,14.4,150.0,1,1
152.29,12.77,155.0,1,1
153.0,12.34,155.0,1,1
151.14,14.63,156.0,1,1
145.64,12.94,149.0,1,1
148.75,14.0,153.0,1,1
150.15,13.18,154.0,1,1
142.14,17.38,147.0,1,1
147.79,13.46,149.0,1,1
148.87,12.43,150.0,1,1
145.77,13.04,148.0,1,1
142.99,12.84,143.0,1,1
141.45,12.38,143.0,1,1
146.23,13.2,148.0,1,1
135.987,13.15,138.0,1,1
147.54,13.74,151.0,1,1
144.39,14.0,147.0,1,1
148.13,11.43,150.0,1,1
150.53,11.31,153.0,1,1
65.22222222,11.03305919,67.0,1,2
75.66666667,18.82079228,79.5,1,2
61.22222222,15.33896837,58.0,1,2
78.77777778,14.38191594,77.0,1,2
66.66666667,22.84731932,67.0,1,2
84.33333333,15.96524002,83.0,1,2
78.33333333,22.34576768,90.0,1,2
79.11111111,17.66631726,75.0,1,2
55.44444444,15.23964939,55.0,1,2
55.0,16.87865187,49.0,1,2
65.44444444,18.63754342,69.0,1,2
68.11111111,13.71491033,63.0,1,2
68.77777778,16.82443843,75.0,1,2
63.33333333,21.20796496,60.0,1,2
59.55555556,21.44300513,52.0,1,2
66.11111111,11.11999645,66.0,1,2
77.44444444,85.0,13.34258938,1,2
