@RELATION piro

@attribute Avg numeric
@attribute Std numeric
@attribute Median numeric
@attribute Color {0, 1, 2, 3}
@attribute Class {0, 1, 2}

@DATA
138.84,14.2,144.0,0,0
107.68,16.05,112.0,0,0
110.09,16.15,115.0,0,0
126.48,11.65,126.0,0,0
123.4,9.1,126.0,0,0
120.35,12.44,122.0,0,0
121.06,13.52,125.0,0,0
119.27,15.96,126.0,0,0
132.81,5.21,132.0,0,0
106.19,9.32,108.0,0,0
111.39,14.42,114.0,0,0
116.83,22.46,124.0,0,0
125.42,11.58,128.0,0,0
123.15,11.34,125.0,0,0
116.77,7.12,116.0,0,0
108.1,14.71,113.0,0,0
109.32,18.84,116.0,0,0
100.84,18.31,96.0,0,0
129.19,24.48,140.0,0,0
138.13,20.19,146.0,0,0
114.16,21.84,121.0,0,0
105.78,26.21,101.0,0,0
107.15,17.53,113.0,0,0
106.95,13.26,112.0,0,0
124.31,5.1,125.0,0,0
124.16,18.06,131.0,0,0
110.44,13.04,106.0,0,0
121.33,17.3,122.0,0,0
145.45,14.05,150.0,0,1
143.21,9.15,145.0,0,1
145.44,15.21,148.0,0,1
141.68,11.68,145.0,0,1
131.44,11.56,134.0,0,1
127.76,11.02,131.0,0,1
140.41,15.51,146.0,0,1
141.83,11.32,145.0,0,1
138.19,19.13,143.0,0,1
142.73,16.48,146.0,0,1
131.81,11.95,134.0,0,1
133.0,11.87,135.0,0,1
132.0,13.35,136.0,0,1
141.96,12.67,146.0,0,1
145.78,15.36,149.0,0,1
148.58,14.9,152.0,0,1
142.6,23.96,150.0,0,1
145.54,12.75,147.0,0,1
145.8,11.59,147.0,0,1
140.77,12.09,142.0,0,1
147.95,11.55,149.0,0,1
144.74,11.43,146.0,0,1
147.1,12.31,150.0,0,1
135.95,13.15,138.0,0,1
138.53,12.58,142.0,0,1
134.56,13.09,137.0,0,1
130.22,10.89,132.0,0,1
134.27,11.08,137.0,0,1
52.66666667,5.773502692,53.0,0,2
64.75,20.16649449,69.0,0,2
49.66666667,16.00694294,55.0,0,2
75.0,14.22829731,70.0,0,2
59.44444444,25.44323141,61.0,0,2
83.55555556,18.01302684,84.0,0,2
79.33333333,21.54065923,90.0,0,2
83.44444444,18.78599426,86.0,0,2
51.77777778,15.33896837,47.0,0,2
54.66666667,16.03468463,51.0,0,2
63.88888889,19.07554831,66.0,0,2
71.55555556,13.7364973,68.0,0,2
72.88888889,17.38098862,80.0,0,2
66.0,22.59793501,63.0,0,2
57.88888889,21.20505414,51.0,0,2
56.44444444,11.22607195,54.0,0,2
64.11111111,66.0,12.887931,0,2
